Year,Month,Sales
1960,1,6550
1960,2,8728
1960,3,12026
1960,4,14395
1960,5,14587
1960,6,13791
1960,7,9498
1960,8,8251
1960,9,7049
1960,10,9545
1960,11,9364
1960,12,8456
1961,1,7237
1961,2,9374
1961,3,11837
1961,4,13784
1961,5,15926
1961,6,13821
1961,7,11143
1961,8,7975
1961,9,7610
1961,10,10015
1961,11,12759
1961,12,8816
1962,1,10677
1962,2,10947
1962,3,15200
1962,4,17010
1962,5,20900
1962,6,16205
1962,7,12143
1962,8,8997
1962,9,5568
1962,10,11474
1962,11,12256
1962,12,10583
1963,1,10862
1963,2,10965
1963,3,14405
1963,4,20379
1963,5,20128
1963,6,17816
1963,7,12268
1963,8,8642
1963,9,7962
1963,10,13932
1963,11,15936
1963,12,12628
1964,1,12267
1964,2,12470
1964,3,18944
1964,4,21259
1964,5,22015
1964,6,18581
1964,7,15175
1964,8,10306
1964,9,10792
1964,10,14752
1964,11,13754
1964,12,11738
1965,1,12181
1965,2,12965
1965,3,19990
1965,4,23125
1965,5,23541
1965,6,21247
1965,7,15189
1965,8,14767
1965,9,10895
1965,10,17130
1965,11,17697
1965,12,16611
1966,1,12674
1966,2,12760
1966,3,20249
1966,4,22135
1966,5,20677
1966,6,19933
1966,7,15388
1966,8,15113
1966,9,13401
1966,10,16135
1966,11,17562
1966,12,14720
1967,1,12225
1967,2,11608
1967,3,20985
1967,4,19692
1967,5,24081
1967,6,22114
1967,7,14220
1967,8,13434
1967,9,13598
1967,10,17187
1967,11,16119
1967,12,13713
1968,1,13210
1968,2,14251
1968,3,20139
1968,4,21725
1968,5,26099
1968,6,21084
1968,7,18024
1968,8,16722
1968,9,14385
1968,10,21342
1968,11,17180
1968,12,14577
